id,name,year,tournaments,points
403,Радуга,2022,0,6
366,Sin3d,2022,0,4
60,Mr. Vampire,2022,0,0
108,POISON,2022,0,0
334,Альпач,2023,18,286
334,Альпач,2024,24,285
334,Альпач,2025,13,216
1013,Фрукт,2023,24,253
1013,Фрукт,2024,31,261
392,Neit,2023,14,177
719,Аристократ,2023,10,171
719,Аристократ,2025,7,118
418,Истина,2023,13,165
424,Морти,2023,13,160
424,Морти,2024,17,205
424,Морти,2025,11,110
2872,Бес,2023,18,155
5567,Paradise,2024,21,281
2589,Йөгерешкин,2024,18,245
346,Ведьмочка,2024,28,229
1368,Тори,2024,11,223
318,Franchesco,2024,7,203
318,Franchesco,2025,6,117
561,Дорадо,2025,11,157
3787,Mizantrop,2025,12,152
4961,Интeграл,2025,8,139
2781,Слюнявый Джон,2025,8,138
