id,name,club,year,page,region_for_year,points,elo,tournaments,regions_seen,region_by_year_full,last_seen_region,last_seen_year,last_seen_page
338,Сова,,2023,1,volga_region,160,2483,13,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2023,1
338,Сова,,2024,1,,,,,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2023,1
338,Сова,,2025,1,,,,,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2023,1
575,Ferrari,,2022,1,all|volga_region,12,2945,0,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2024"": [""all"", ""volga_region""], ""2025"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2025,1
575,Ferrari,,2023,1,volga_region,237,2945,19,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2024"": [""all"", ""volga_region""], ""2025"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2025,1
575,Ferrari,,2024,1,all|volga_region,416,2945,27,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2024"": [""all"", ""volga_region""], ""2025"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2025,1
575,Ferrari,,2025,1,all|volga_region,438,2945,17,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2024"": [""all"", ""volga_region""], ""2025"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2025,1
225,Сурочек,,2022,1,all|volga_region,10,2438,0,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2023,1
225,Сурочек,,2023,1,volga_region,247,2438,17,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2023,1
225,Сурочек,,2024,1,,,,,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2023,1
225,Сурочек,,2025,1,,,,,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2023,1
1115,РФ,,2022,1,,,,,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""], ""2025"": [""all"", ""central""]}",central,2025,1
1115,РФ,,2023,1,all|central,391,3326,29,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""], ""2025"": [""all"", ""central""]}",central,2025,1
1115,РФ,,2024,1,all|central,408,3326,31,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""], ""2025"": [""all"", ""central""]}",central,2025,1
1115,РФ,,2025,1,all|central,288,3326,16,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""], ""2025"": [""all"", ""central""]}",central,2025,1
159,Градиент,,2022,1,,,,,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""], ""2025"": [""all"", ""central""]}",central,2025,1
159,Градиент,,2023,1,all|central,381,3247,34,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""], ""2025"": [""all"", ""central""]}",central,2025,1
159,Градиент,,2024,1,all|central,372,3247,24,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""], ""2025"": [""all"", ""central""]}",central,2025,1
159,Градиент,,2025,1,all|central,387,3247,17,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""], ""2025"": [""all"", ""central""]}",central,2025,1
993,Арривидерчи,,2022,1,,,,,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
993,Арривидерчи,,2023,1,all|central,375,2700,26,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
993,Арривидерчи,,2024,1,,,,,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
993,Арривидерчи,,2025,1,,,,,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
266,BWDMoscow,,2022,1,,,,,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
266,BWDMoscow,,2023,1,all|central,368,2874,28,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
266,BWDMoscow,,2024,1,,,,,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
266,BWDMoscow,,2025,1,,,,,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
867,Фреско,,2022,1,,,,,all|siberia_and_ural,"{""2023"": [""all"", ""siberia_and_ural""], ""2024"": [""all"", ""siberia_and_ural""], ""2025"": [""all"", ""siberia_and_ural""]}",siberia_and_ural,2025,1
867,Фреско,,2023,1,all|siberia_and_ural,348,3158,14,all|siberia_and_ural,"{""2023"": [""all"", ""siberia_and_ural""], ""2024"": [""all"", ""siberia_and_ural""], ""2025"": [""all"", ""siberia_and_ural""]}",siberia_and_ural,2025,1
867,Фреско,,2024,1,all|siberia_and_ural,343,3158,16,all|siberia_and_ural,"{""2023"": [""all"", ""siberia_and_ural""], ""2024"": [""all"", ""siberia_and_ural""], ""2025"": [""all"", ""siberia_and_ural""]}",siberia_and_ural,2025,1
867,Фреско,,2025,1,all|siberia_and_ural,371,3158,13,all|siberia_and_ural,"{""2023"": [""all"", ""siberia_and_ural""], ""2024"": [""all"", ""siberia_and_ural""], ""2025"": [""all"", ""siberia_and_ural""]}",siberia_and_ural,2025,1
1544,Кэтти,,2022,1,,,,,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""]}",central,2024,1
1544,Кэтти,,2023,1,all|central,330,2882,20,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""]}",central,2024,1
1544,Кэтти,,2024,1,all|central,395,2882,21,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""]}",central,2024,1
1544,Кэтти,,2025,1,,,,,all|central,"{""2023"": [""all"", ""central""], ""2024"": [""all"", ""central""]}",central,2024,1
1041,Loki,,2022,1,,,,,all|central,"{""2023"": [""all"", ""central""], ""2024"": ""central""}",central,2024,1
1041,Loki,,2023,1,all|central,320,2724,32,all|central,"{""2023"": [""all"", ""central""], ""2024"": ""central""}",central,2024,1
1041,Loki,,2024,1,central,290,2724,27,all|central,"{""2023"": [""all"", ""central""], ""2024"": ""central""}",central,2024,1
1041,Loki,,2025,1,,,,,all|central,"{""2023"": [""all"", ""central""], ""2024"": ""central""}",central,2024,1
279,007,,2022,1,central,5,2847,0,all|central,"{""2023"": [""all"", ""central""], ""2025"": [""all"", ""central""], ""2022"": ""central""}",central,2025,1
279,007,,2023,1,all|central,318,2847,38,all|central,"{""2023"": [""all"", ""central""], ""2025"": [""all"", ""central""], ""2022"": ""central""}",central,2025,1
279,007,,2024,1,,,,,all|central,"{""2023"": [""all"", ""central""], ""2025"": [""all"", ""central""], ""2022"": ""central""}",central,2025,1
279,007,,2025,1,all|central,310,2847,23,all|central,"{""2023"": [""all"", ""central""], ""2025"": [""all"", ""central""], ""2022"": ""central""}",central,2025,1
789,Растишка,,2022,1,,,,,all|central,"{""2023"": [""all"", ""central""], ""2024"": ""central""}",central,2024,1
789,Растишка,,2023,1,all|central,318,2822,41,all|central,"{""2023"": [""all"", ""central""], ""2024"": ""central""}",central,2024,1
789,Растишка,,2024,1,central,298,2822,38,all|central,"{""2023"": [""all"", ""central""], ""2024"": ""central""}",central,2024,1
789,Растишка,,2025,1,,,,,all|central,"{""2023"": [""all"", ""central""], ""2024"": ""central""}",central,2024,1
333,Тихий Закат,,2022,1,,,,,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
333,Тихий Закат,,2023,1,all|central,318,2630,33,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
333,Тихий Закат,,2024,1,,,,,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
333,Тихий Закат,,2025,1,,,,,all|central,"{""2023"": [""all"", ""central""]}",central,2023,1
